,TEAM,DRAW,LOST,WON
0,Abkhazia,12,4,12
1,Afghanistan,24,57,30
2,Albania,69,180,85
3,Alderney,0,16,3
4,Algeria,139,152,214
5,American Samoa,2,41,5
6,Andalusia,4,1,8
7,Andorra,20,140,6
8,Angola,123,108,121
9,Anguilla,5,53,3
10,Antigua and Barbuda,38,96,62
11,Arameans Suryoye,2,3,5
12,Argentina,243,211,526
13,Armenia,43,117,52
14,Artsakh,2,3,6
15,Aruba,27,72,21
16,Asturias,0,0,1
17,Australia,112,149,256
18,Austria,170,286,324
19,Azerbaijan,65,134,48
20,Bahamas,6,19,11
21,Bahrain,141,184,164
22,Bangladesh,44,114,50
23,Barawa,0,9,3
24,Barbados,59,116,88
25,Basque Country,11,9,37
26,Belarus,63,112,77
27,Belgium,164,271,335
28,Belize,12,49,18
29,Benin,66,135,59
30,Bermuda,26,72,54
31,Bhutan,5,67,9
32,Bolivia,112,245,101
33,Bonaire,3,11,7
34,Bosnia and Herzegovina,49,85,88
35,Botswana,84,120,75
36,Brazil,199,157,625
37,British Virgin Islands,14,61,16
38,Brittany,3,3,6
39,Brunei,5,58,10
40,Bulgaria,168,257,249
41,Burkina Faso,108,157,123
42,Burma,60,130,151
43,Burundi,47,83,58
44,Cambodia,31,146,48
45,Cameroon,166,136,232
46,Canada,87,160,134
47,Canary Islands,0,1,3
48,Cape Verde,38,70,58
49,Cascadia,1,2,4
50,Catalonia,12,17,18
51,Cayman Islands,14,58,19
52,Central African Republic,21,55,20
53,Central Spain,0,1,1
54,Chad,28,62,25
55,Chagos Islands,1,9,1
56,Chameria,2,1,2
57,Chile,160,310,290
58,China PR,135,175,286
59,Chinese Taipei,21,90,38
60,Colombia,151,185,214
61,Comoros,19,32,9
62,Congo,97,149,129
63,Cook Islands,4,30,9
64,Corsica,4,1,4
65,Costa Rica,153,194,257
66,County of Nice,1,2,6
67,Crimea,0,2,3
68,Croatia,85,65,170
69,Cuba,81,141,115
70,Curaçao,87,123,122
71,Cyprus,60,235,69
72,Czech Republic,59,79,161
73,Czechoslovakia,113,161,222
74,DR Congo,126,154,182
75,Darfur,0,7,0
76,Denmark,172,270,355
77,Djibouti,7,76,5
78,Dominica,38,101,43
79,Dominican Republic,15,54,44
80,East Timor,3,44,4
81,Ecuador,125,235,152
82,Egypt,157,167,310
83,El Salvador,110,224,167
84,Ellan Vannin,5,5,7
85,England,243,196,572
86,Equatorial Guinea,29,72,29
87,Eritrea,16,45,11
88,Estonia,102,247,120
89,Eswatini,67,116,47
90,Ethiopia,79,152,131
91,Falkland Islands,0,23,6
92,Faroe Islands,23,161,42
93,Felvidék,1,4,3
94,Fiji,40,84,97
95,Finland,154,401,191
96,France,178,245,419
97,French Guiana,32,79,46
98,Frøya,2,22,6
99,Gabon,105,129,125
100,Galicia,3,2,4
101,Gambia,65,98,50
102,Georgia,51,118,74
103,German DR,66,92,140
104,Germany,196,200,555
105,Ghana,159,156,285
106,Gibraltar,9,59,31
107,Gotland,4,15,11
108,Gozo,0,5,1
109,Greece,141,216,209
